Unique name,Company Name,Founding Year,Founder(s),Industry/Niche,Headquarters Location,Initial Funding (M$),Total Funding (M$),Annual Revenue (M$),Break-even Status,Profit Margin %,CAC (M$),LTV (M$),Marketing Spend %,Customer Growth %,Social Engagement %,NPS Score,Web Traffic (M),Repeat Purchase %,Monetization Strategy,Key Innovations,Pivot Moments,Community Initiatives,Brand Storytelling,Major PR Issues,Metrics Before/After Crisis,Response Strategies
Financial,PhonePe,2015,"Sameer Nigam, Rahul Chari","Digital Payments, UPI","Mumbai, India",0,850,291.4,Achieved,25%,1,3.5,20%,45%,40%,80,15,75,"Financial services, ads","UPI switch, wealth desk","From wallet to financial super app, 2022",Small biz partnerships,India-first tech narrative,None major,N/A,N/A
Financial,MobiKwik,2009,"Bipin Preet Singh, Upasana Taku","Digital Wallets, BNPL","Gurugram, India",0.5,170,54,Not Achieved,15%,1.2,2,25%,35%,30%,60,5,55,"Lending, BNPL, ads",BNPL for wallet users,IPO attempts 2021-22,Local cashback campaigns,Middle-class empowerment,"Data breach allegation, 2021",Trust hit temporarily,"Denied breach, improved security"
Financial,MoneyTap,2015,"Bala Parthasarathy, Anuj Kacker, Kunal Varma",Personal Credit Line,"Bangalore, India",12.3,70,8,Not Achieved,10%,1.8,1.5,35%,20%,15%,50,2,45,Interest + usage fees,Credit line via app,"Merged with Freo, 2021",Financial education blog,Instant access to credit,High NPAs during COVID,Reduced disbursement,Partnered with banks for recovery
Financial,Lendbox,2015,Bhavin Patel,P2P Lending,"New Delhi, India",1.5,7,1.5,Not Achieved,8%,2,1,30%,12%,8%,35,1,30,"Loan origination, fees",P2P investment automation,"Partnered with MobiKwik, 2022",Investor education programs,Wealth from lending,COVID lending freeze,Platform activity drop,"Paused loans, relaunched post-COVID"
Fashion,Nykaa,2012,Falguni Nayar,Beauty & Personal Care,Mumbai,3.2,341,270.8,Achieved,22%,1,3.5,18%,60%,50%,85,20,80,"Retail, Subscription","Omnichannel strategy, private labels",2015 - Shift to omnichannel,"Nykaa Army, influencer collabs",Empowering beauty narratives,2021 IPO backlash,"Stock dipped 17%, traffic stable","PR outreach, influencer marketing"
Fashion,Purplle,2012,"Manish Taneja, Rahul Dash",Beauty & Personal Care,Mumbai,1,140,61,Not Achieved,15%,1.2,2,25%,45%,35%,70,8,60,Retail,AI-based personalization,2017 - Shifted to own brands,User-generated reviews,Value-for-money focus,2020 funding delay,Stagnant growth,Cost optimization
Fashion,Vanity Wagon,2018,"Naina Ruhail, Prateek Ruhail",Clean Beauty Products,Delhi,0.3,2,2.1,Not Achieved,8%,1.5,1.2,30%,35%,25%,55,2,40,Retail,Clean beauty focus,2021 - Expanded brand portfolio,Green beauty forums,Eco-conscious branding,COVID logistics delay,Revenue dip 15%,Increased local sourcing
Fashion,MyGlamm,2017,Darpan Sanghvi,Cosmetics,Mumbai,0.5,130,26.5,Not Achieved,12%,1.8,1.5,28%,30%,25%,60,5,45,"Retail, App",Content-commerce integration,2020 - Merged with POPxo,POPxo community,Trendy & accessible beauty,2022 influencer backlash,Engagement drop 10%,Influencer apology campaign
Fashion,Smytten,2015,"Swagata Sarangi, Siddhartha Nangia",Product Discovery,Bangalore,1,20,5.6,Not Achieved,10%,2,1,22%,25%,15%,50,3,40,"Freemium, Sampling",Try-before-you-buy kits,2019 - Shift to app-based sampling,Smytten squad,Discovery-first commerce,2021 logistics backlog,Customer churn 5%,Warehouse automation
Medicine,1mg,2015,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Healthcare E-commerce,"Gurugram, Haryana",6,230.8,100,Achieved,18%,1.2,2.5,85%,70%,45%,80,15,75,"E-commerce, diagnostics",Integrated healthcare services,Expanded to diagnostics (2016),Health content creation,Emphasizes convenience and quality,Regulatory challenges (ongoing),Not publicly disclosed,Compliance and legal adjustments
Medicine,HealthHub,2012,Unknown,Healthcare Technology,"Seoul, South Korea",24.85,24.85,0,Not Achieved,10%,1.5,1,55%,30%,15%,45,2,35,Technology solutions,AI-based medical imaging,None publicly disclosed,Limited community engagement,Focus on innovative technology,Regulatory hurdles (2023),Significant decline in operations,Attempted regulatory compliance
Medicine,Kenko Health,2019,"Aniruddha Sen, Dhiraj Goel",Insurtech,"Mumbai, India",12,13.7,0,Not Achieved,12%,1.8,1.2,52%,25%,20%,55,3,40,Subscription-based plans,Comprehensive OPD coverage,None publicly disclosed,Corporate partnerships,Emphasizes financial security,Operational challenges (2024),Decline in customer base,Restructuring and cost-cutting
Medicine,Medlife,2014,"Prashant Singh, Tushar Kumar",E-pharmacy,"Bangalore, India",110,110,36.34,Not Achieved,15%,1.5,1.8,90%,35%,30%,65,5,55,"E-commerce, diagnostics",Multilingual platform (2020),Acquired EClinic (2018),User-centric services,Focused on accessibility,Merged with PharmEasy (2021),Operations discontinued,Integration into PharmEasy
Medicine,Netmeds,2015,Pradeep Dadha,E-pharmacy,"Chennai, India",6.19,6.19,0,Not Achieved,10%,1.8,1.2,45%,25%,20%,50,3,40,E-commerce,Wide product range,None publicly disclosed,Limited community engagement,Focus on affordability,Competition challenges (ongoing),Moderate growth,Market expansion efforts
Medicine,PharmEasy,2015,"Dharmil Sheth, Dhaval Shah",E-pharmacy,"Mumbai, India",548,548,566.4,Not Achieved,20%,1.2,2.5,92%,55%,45%,80,20,70,"E-commerce, diagnostics",Integrated services,Expanded to diagnostics,User engagement initiatives,Emphasizes convenience and accessibility,Regulatory scrutiny (ongoing),Not publicly disclosed,Compliance and legal adjustments
